run_cell_id,dataset_id,branch_id,condition_id,budget_id,model_repeat_index,subject_id,session_id,n,BACC,F1_MACRO,ACC,ROC_AUC
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR07,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,7,39,0,45,0.5118577075098814,0.5108695652173914,0.5111111111111111,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR07,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,7,40,0,45,0.5535714285714286,0.5535714285714286,0.5555555555555556,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR07,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,7,47,0,45,0.5327380952380952,0.5324096981692232,0.5333333333333333,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR07,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,7,48,0,45,0.4624505928853755,0.4444444444444444,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR07,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,7,57,0,45,0.6041666666666666,0.599802371541502,0.6,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR07,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,7,71,0,45,0.5326086956521738,0.5324096981692232,0.5333333333333333,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR07,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,7,93,0,45,0.49011857707509876,0.48787728847105394,0.4888888888888889,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR07,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,7,98,0,45,0.4654150197628458,0.4642857142857143,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR07,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,7,107,0,45,0.4732142857142857,0.4642857142857143,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR08,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,8,6,0,45,0.37202380952380953,0.37,0.37777777777777777,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR08,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,8,27,0,45,0.5988142292490118,0.5982142857142857,0.6,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR08,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,8,39,0,45,0.44367588932806323,0.44334487877288475,0.4444444444444444,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR08,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,8,40,0,45,0.5565476190476191,0.5553359683794465,0.5555555555555556,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR08,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,8,47,0,45,0.5982142857142857,0.5982142857142857,0.6,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR08,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,8,48,0,45,0.49011857707509876,0.48787728847105394,0.4888888888888889,0.5
